彻头彻尾,2.0
彻彻底底,2.0
地地道道,2.0
完完全全,2.0
无以伦比,2.0
无以复加,2.0
无可估量,2.0
百分之百,2.0
百分百,2.0
不亦乐乎,2.0
不可开交,2.0
十二分,2.0
万分,2.0
万般,2.0
倍加,2.0
十足,2.0
入骨,2.0
备至,2.0
到头,2.0
刻骨,2.0
十分,2.0
卓绝,2.0
惊人地,2.0
截然,2.0
已极,2.0
已甚,2.0
异常,2.0
最为,2.0
极其,2.0
极度,2.0
极端,2.0
极致,2.0
绝对,2.0
绝顶,2.0
至极,2.0
莫大,2.0
超级,2.0
非常,2.0
分外,1.8
尤其,1.8
格外,1.8
特别,1.8
过于,1.8
不少,1.5
不胜,1.5
不过,1.5
何等,1.5
出奇,1.5
够戗,1.5
够瞧的,1.5
大为,1.5
太甚,1.5
好不,1.5
好生,1.5
如此,1.5
实在,1.5
尤为,1.5
尤以,1.5
很是,1.5
愈发,1.5
愈益,1.5
更为,1.5
更加,1.5
沉沉,1.5
相当,1.5
真的,1.5
着实,1.5
确实,1.5
老大,1.5
越发,1.5
越来越,1.5
这般,1.5
那么,1.5
颇为,1.5
多多少少,0.8
或多或少,0.8
点点滴滴,0.8
不大,0.8
不太,0.8
不很,0.8
不甚,0.8
些微,0.8
有些,0.8
有点,0.8
有点儿,0.8
未免,0.8
略为,0.8
略加,0.8
略微,0.8
略略,0.8
稍为,0.8
稍微,0.8
稍稍,0.8
不怎么,0.6
不那么,0.6
不见得,0.5
算不上,0.3
谈不上,0.3
万,2.0
万万,2.0
之极,2.0
之至,2.0
佼佼,2.0
全然,2.0
奇,2.0
完全,2.0
尽,2.0
最,2.0
极,2.0
极为,2.0
死,2.0
滔天,2.0
满,2.0
满心,2.0
满贯,2.0
甚为,2.0
痛,2.0
綦,2.0
绝,2.0
绝对化,2.0
要命,2.0
要死,2.0
贼,2.0
透,2.0
逾常,2.0
郅,2.0
酷,2.0
齁,2.0
太,1.8
超,1.8
可,1.5
坏,1.5
多么,1.5
多加,1.5
多多,1.5
好,1.5
尤,1.5
很,1.5
惨,1.5
挺,1.5
曷,1.5
沉,1.5
特,1.5
甚,1.5
真,1.5
碜,1.5
老,1.5
良,1.5
远,1.5
颇,1.5
多少,1.3
比较,1.3
稍,1.3
稍许,1.3
多,1.2
大不了,1.2
如斯,1.2
尤甚,1.2
强,1.2
愈,1.2
愈加,1.2
愈来愈,1.2
更,1.2
益,1.2
益发,1.2
越加,1.2
越是,1.2
足,1.2
足足,1.2
较,1.2
较为,1.2
较比,1.2
还要,1.2
这样,1.2
进一步,1.2
远远,1.2
逾,1.2
那样,1.2
那般,1.2
一些,0.8
一点,0.8
一点儿,0.8
些,0.8
些小,0.8
怪,0.8
蛮,0.8
还,0.8
巨,2.0
爆,2.0
狂,2.0
疯,2.0
全,2.0
都,2.0
彻底,2.0
全然,2.0
顶,2.0
满,2.0
奇,1.8
无比,1.8
超绝,1.8
忒,1.5
贼,1.5
齁,1.5
老,1.5
巨,1.5
爆,1.5
